Format: Draw Number,Draw Date (yyyymmdd),Winning Number 1,2,3,4,5,6,Supplementary 1,2,Division 1,2,3,4,5,6
737,19880813,8,2,6,11,37,40,7,10
739,19880820,26,14,16,33,6,45,22,34
741,19880827,5,20,6,40,22,2,15,4
743,19880903,16,15,7,26,2,3,11,41
745,19880910,26,22,5,6,7,34,45,8
747,19880917,31,18,36,44,3,39,28,1
749,19880924,25,9,22,31,35,26,29,15
751,19881001,20,37,1,42,18,43,5,19
753,19881008,5,3,24,2,25,42,17,31
755,19881015,33,22,35,15,6,45,4,34
757,19881022,21,18,33,32,30,4,44,17
759,19881029,33,41,20,27,34,38,40,28
761,19881105,20,15,25,40,22,43,45,19
763,19881112,26,36,3,40,31,22,32,18
765,19881119,41,26,33,45,40,35,13,42
767,19881126,26,42,43,32,21,36,1,39
769,19881203,45,5,31,21,38,13,29,41
771,19881210,29,9,20,28,32,3,21,7
773,19881217,20,21,25,10,23,38,37,44
775,19881224,13,24,11,43,19,16,12,9
777,19881231,9,18,5,1,33,34,7,8
779,19890107,12,39,32,3,11,37,25,30
781,19890114,43,19,39,27,41,31,21,36
783,19890121,29,2,41,27,17,11,28,15
785,19890128,3,28,7,9,30,10,41,39
787,19890204,37,3,34,13,41,43,15,22
789,19890211,10,6,41,37,24,44,36,42
791,19890218,9,18,1,7,29,11,2,45
793,19890225,8,40,37,33,19,10,23,15
795,19890304,24,30,12,16,22,11,43,20
797,19890311,7,20,11,40,9,33,12,10
799,19890318,21,5,20,7,42,13,30,41
801,19890325,7,33,28,21,10,24,42,41
803,19890401,2,6,38,30,11,35,4,39
805,19890408,11,43,40,13,25,26,38,15
807,19890415,5,12,4,2,15,30,41,17
809,19890422,16,17,12,37,7,4,32,25
811,19890429,14,15,44,16,38,39,13,5
813,19890506,33,16,36,31,28,38,32,21
815,19890513,8,18,19,34,45,29,31,41
817,19890520,12,44,10,38,6,23,40,45
819,19890527,35,7,25,13,27,32,22,33
821,19890603,45,19,22,42,27,17,5,9
823,19890610,22,8,16,17,18,44,2,25
825,19890617,3,24,35,19,14,1,11,27
827,19890624,31,25,41,39,32,1,16,14
829,19890701,37,36,2,8,17,33,12,19
831,19890708,12,9,27,14,13,39,5,43
833,19890715,29,44,1,34,19,37,7,43
835,19890722,42,15,31,38,4,11,14,40
837,19890729,15,24,16,35,10,26,12,30
839,19890805,42,16,18,3,1,8,28,5
841,19890812,30,18,43,10,22,37,12,34
843,19890819,1,8,41,31,44,36,28,34
845,19890826,39,44,1,34,23,6,28,13
847,19890902,28,29,13,16,24,23,4,34
849,19890909,5,3,33,38,1,35,24,2
851,19890916,28,43,13,44,34,41,5,12
853,19890923,2,41,4,18,21,13,20,3
855,19890930,27,38,36,26,15,28,7,4
857,19891007,18,43,14,41,30,22,27,26
859,19891014,28,7,23,6,20,29,22,36
861,19891021,12,23,17,13,40,41,26,22
863,19891028,8,24,6,9,33,2,15,42
865,19891104,19,25,38,30,45,33,24,23
867,19891111,38,30,12,11,25,42,5,26
869,19891118,12,23,41,7,27,30,37,31
871,19891125,40,25,30,45,36,44,16,1
873,19891202,3,33,23,42,21,8,17,29
875,19891209,15,32,35,4,31,20,18,17
877,19891216,38,2,18,40,4,21,29,42
879,19891223,44,2,36,37,38,43,4,19
881,19891230,29,18,8,30,33,5,34,43
883,19900106,30,39,9,20,13,2,21,35
885,19900113,28,13,16,8,25,17,9,40
887,19900120,15,11,2,6,17,4,5,9
889,19900127,32,45,13,10,33,7,42,19
891,19900203,34,8,43,20,18,4,1,21
893,19900210,1,42,20,22,3,44,27,21
895,19900217,8,15,17,18,13,29,30,45
897,19900224,39,20,41,19,37,32,40,38
899,19900303,45,31,37,16,13,14,26,25
901,19900310,44,43,37,12,42,21,2,24
903,19900317,17,18,33,41,11,19,37,13
905,19900324,6,35,25,1,9,24,8,7
907,19900331,9,36,24,31,35,19,28,22
909,19900407,9,15,37,35,29,18,8,30
911,19900414,36,5,11,10,35,34,4,43
913,19900421,21,24,25,12,38,14,43,45
915,19900428,20,35,43,4,26,31,14,13
917,19900505,33,1,30,35,23,10,17,32
919,19900512,30,29,5,10,17,37,22,39
921,19900519,2,8,18,22,41,23,38,33
923,19900526,18,29,30,41,40,24,33,35
925,19900602,36,39,41,12,45,3,9,38
927,19900609,16,24,21,35,28,2,42,17
929,19900616,44,38,43,24,30,25,2,36
931,19900623,14,35,3,8,9,34,20,37
933,19900630,22,25,13,17,14,7,41,2
935,19900707,40,43,22,38,44,26,2,12
937,19900714,7,23,4,44,3,45,27,37
939,19900721,45,44,5,37,22,9,34,29
941,19900728,2,43,42,8,1,22,13,25
943,19900804,28,19,15,32,38,41,42,33
945,19900811,31,18,10,16,21,20,32,39
947,19900818,39,32,5,35,37,1,29,33
949,19900825,19,27,41,10,21,20,17,3
951,19900901,17,32,4,12,19,24,40,25
